Date,Adj Close,Close,High,Low,Open,Volume
,SPY,SPY,SPY,SPY,SPY,SPY
2025-12-29,684.2138671875,687.8499755859375,689.2000122070312,686.0700073242188,687.5399780273438,62559500
2025-12-30,683.3783569335938,687.010009765625,688.5599975585938,686.5800170898438,687.4500122070312,47160700
2025-12-31,678.3152465820312,681.9199829101562,687.3599853515625,681.7100219726562,687.1400146484375,74144800
2026-01-02,679.55859375,683.1699829101562,686.8699951171875,679.8200073242188,685.7100219726562,89377200
2026-01-05,684.0845336914062,687.719970703125,689.4299926757812,686.3800048828125,686.5399780273438,71927200
2026-01-06,688.1529541015625,691.8099975585938,692.3200073242188,687.780029296875,687.9299926757812,69273800
2026-01-07,685.9347534179688,689.5800170898438,693.9600219726562,689.3200073242188,692.1900024414062,75588300
2026-01-08,685.8651123046875,689.510009765625,690.6199951171875,687.489990234375,688.8200073242188,64019200
2026-01-09,690.4010009765625,694.0700073242188,695.3099975585938,689.1799926757812,690.6300048828125,80125500
2026-01-12,691.4852294921875,695.1599731445312,696.0900268554688,690.6300048828125,690.6799926757812,63976000
2026-01-13,690.1026000976562,693.77001953125,696.0900268554688,691.3499755859375,695.489990234375,78309700
2026-01-14,686.7106323242188,690.3599853515625,691.719970703125,686.0399780273438,691.0,94676700
2026-01-15,688.5806884765625,692.239990234375,695.4500122070312,691.25,694.5700073242188,77862000
2026-01-16,688.0037231445312,691.6599731445312,694.25,690.0999755859375,693.6599731445312,79289200
2026-01-20,673.9981689453125,677.5800170898438,684.77001953125,676.5700073242188,681.489990234375,111623300
2026-01-21,681.77685546875,685.4000244140625,688.739990234375,678.1300048828125,679.6500244140625,127844500
2026-01-22,685.3379516601562,688.97998046875,691.1300048828125,686.9199829101562,689.8499755859375,77112200
2026-01-23,685.5865478515625,689.22998046875,690.9600219726562,687.1599731445312,688.1500244140625,63059600
2026-01-26,689.0680541992188,692.72998046875,694.1300048828125,689.9199829101562,690.489990234375,60473800
2026-01-27,691.8134765625,695.489990234375,696.530029296875,693.5700073242188,694.1799926757812,55506100
2026-01-28,691.7438354492188,695.4199829101562,697.8400268554688,693.9400024414062,697.0499877929688,61172200
2026-01-29,690.3711547851562,694.0399780273438,697.0599975585938,684.8300170898438,696.3900146484375,97486200
2026-01-30,688.3120727539062,691.969970703125,694.2100219726562,687.1199951171875,691.7899780273438,101835100
2026-02-02,691.7339477539062,695.4099731445312,696.9299926757812,689.4199829101562,689.5800170898438,79286500
2026-02-03,685.885009765625,689.530029296875,696.9600219726562,684.030029296875,696.2100219726562,107904600
2026-02-04,682.5626831054688,686.1900024414062,691.4500122070312,681.760009765625,690.3499755859375,105204600
2026-02-05,674.0379638671875,677.6199951171875,683.6900024414062,675.7899780273438,680.9400024414062,113610800
2026-02-06,686.96923828125,690.6199951171875,692.3099975585938,680.8499755859375,681.4600219726562,89127600
2026-02-09,690.2816772460938,693.9500122070312,695.8699951171875,688.3400268554688,689.4199829101562,73885200
2026-02-10,688.4613037109375,692.1199951171875,696.5399780273438,691.6599731445312,694.9500122070312,65185700
2026-02-11,688.3021850585938,691.9600219726562,697.1400146484375,689.1799926757812,696.3900146484375,76353900
2026-02-12,677.668701171875,681.27001953125,695.3499755859375,680.3699951171875,694.239990234375,118829000
2026-02-13,678.1461181640625,681.75,686.280029296875,677.52001953125,681.6900024414062,96267500
2026-02-17,679.2402954101562,682.8499755859375,684.9400024414062,675.780029296875,680.1400146484375,81354700
2026-02-18,682.662109375,686.2899780273438,689.1500244140625,682.8300170898438,684.02001953125,73570300
2026-02-19,680.8616333007812,684.47998046875,686.1799926757812,681.5499877929688,683.8400268554688,58649400
2026-02-20,685.7855834960938,689.4299926757812,690.0599975585938,681.72998046875,682.3200073242188,100034000
2026-02-23,678.7827758789062,682.3900146484375,690.0,680.3699951171875,687.8300170898438,90558100
2026-02-24,683.7164916992188,687.3499755859375,688.3499755859375,680.0,681.9000244140625,73798700
2026-02-25,689.4859008789062,693.1500244140625,693.6799926757812,690.0999755859375,690.1799926757812,56369500
2026-02-26,685.6561889648438,689.2999877929688,693.2999877929688,684.3499755859375,693.280029296875,71671000
2026-02-27,682.3637084960938,685.989990234375,686.8599853515625,681.6400146484375,683.0900268554688,83308900
2026-03-02,682.751708984375,686.3800048828125,688.6199951171875,678.02001953125,678.7000122070312,87477200
2026-03-03,676.7337036132812,680.3300170898438,682.6099853515625,669.6599731445312,675.0599975585938,105003100
2026-03-04,681.5082397460938,685.1300048828125,687.0900268554688,679.6199951171875,681.6300048828125,79182200
2026-03-05,677.70849609375,681.3099975585938,685.530029296875,675.6099853515625,682.0800170898438,106606500
2026-03-06,668.82568359375,672.3800048828125,676.1099853515625,669.760009765625,673.4099731445312,100687000
2026-03-09,674.6845703125,678.27001953125,679.9199829101562,662.3900146484375,666.3900146484375,102667700
2026-03-10,673.6002807617188,677.1799926757812,683.3599853515625,674.760009765625,677.719970703125,81505300
2026-03-11,672.7548217773438,676.3300170898438,680.0800170898438,673.3400268554688,677.5800170898438,68441700
2026-03-12,662.5390625,666.0599975585938,671.6500244140625,665.8699951171875,671.1599731445312,108882200
2026-03-13,658.7890014648438,662.2899780273438,672.3400268554688,661.3599853515625,669.27001953125,97200200
2026-03-16,665.493408203125,669.030029296875,672.0700073242188,667.1199951171875,668.3800048828125,82023100
2026-03-17,667.2440185546875,670.7899780273438,674.4400024414062,669.7000122070312,672.3900146484375,87128000
2026-03-18,657.9335327148438,661.4299926757812,669.719970703125,661.1900024414062,668.3599853515625,82062600
2026-03-19,656.3121948242188,659.7999877929688,662.97998046875,655.1699829101562,656.969970703125,111272500
2026-03-20,646.9034423828125,648.5700073242188,656.6900024414062,644.719970703125,656.510009765625,163617500
2026-03-23,653.6959228515625,655.3800048828125,662.6199951171875,653.9400024414062,658.0700073242188,134802700
2026-03-24,651.5015869140625,653.1799926757812,657.030029296875,649.8800048828125,651.3200073242188,96457500
2026-03-25,655.1322021484375,656.8200073242188,660.8900146484375,654.239990234375,658.6699829101562,90653800
2026-03-26,643.432373046875,645.0900268554688,654.8499755859375,644.8200073242188,652.0599975585938,96494400
2026-03-27,632.4606323242188,634.0900268554688,642.6599731445312,633.1099853515625,642.5,103649400
2026-03-30,630.3460693359375,631.969970703125,640.3699951171875,629.280029296875,640.1099853515625,99275900
2026-03-31,648.6688842773438,650.3400268554688,651.5399780273438,637.97998046875,638.9400024414062,152534100
2026-04-01,653.5562744140625,655.239990234375,658.52001953125,653.0,653.9000244140625,97841500
2026-04-02,654.144775390625,655.8300170898438,658.2000122070312,645.1099853515625,646.4199829101562,68358700
2026-04-06,657.23681640625,658.9299926757812,659.719970703125,655.52001953125,655.8599853515625,39105800
2026-04-07,657.5260009765625,659.219970703125,659.6099853515625,651.0599975585938,656.6500244140625,69980400
2026-04-08,674.27294921875,676.010009765625,677.0800170898438,671.4600219726562,676.3900146484375,93606100
2026-04-09,678.162841796875,679.9099731445312,681.1599731445312,673.77001953125,674.8400268554688,57134400
2026-04-10,677.7140502929688,679.4600219726562,682.030029296875,678.4500122070312,681.3200073242188,42253500
2026-04-13,684.3369750976562,686.0999755859375,686.2999877929688,676.5800170898438,677.4099731445312,54185800
