time,open,high,low,close,tick_volume,spread,real_volume
2026-06-26 09:35:00,59887.28,60285.35,59887.28,60106.22,2951,1200,0
2026-06-26 09:40:00,60106.22,60339.17,60010.42,60285.41,3602,1200,0
2026-06-26 09:45:00,60284.97,60376.54,60190.12,60244.46,3112,1200,0
2026-06-26 09:50:00,60244.17,60244.17,60134.0,60194.0,2023,1200,0
2026-06-26 09:55:00,60193.95,60260.35,60159.49,60237.32,1796,1200,0
2026-06-26 10:00:00,60237.32,60265.7,60178.07,60211.73,2500,1200,0
2026-06-26 10:05:00,60211.73,60321.87,60195.68,60306.41,2314,1200,0
2026-06-26 10:10:00,60305.97,60448.69,60268.48,60410.67,2401,1200,0
2026-06-26 10:15:00,60411.03,60521.21,60350.71,60499.07,3550,1200,0
2026-06-26 10:20:00,60499.05,60518.0,60406.89,60485.33,2664,1200,0
2026-06-26 10:25:00,60485.5,60633.11,60407.32,60486.75,2371,1200,0
2026-06-26 10:30:00,60486.33,60618.55,60465.96,60492.72,3313,1200,0
2026-06-26 10:35:00,60492.68,60684.92,60452.06,60657.9,2659,1200,0
2026-06-26 10:40:00,60656.79,60660.42,60470.07,60475.91,2811,1200,0
2026-06-26 10:45:00,60475.91,60510.95,60392.55,60422.52,2865,1200,0
2026-06-26 10:50:00,60422.56,60498.65,60409.55,60490.32,2223,1200,0
2026-06-26 10:55:00,60490.57,60546.86,60422.91,60422.91,2197,1200,0
2026-06-26 11:00:00,60421.12,60477.36,60261.11,60283.59,2797,1200,0
2026-06-26 11:05:00,60283.57,60289.95,60148.51,60167.95,2649,1200,0
2026-06-26 11:10:00,60167.91,60244.76,60128.91,60168.51,2038,1200,0
2026-06-26 11:15:00,60170.81,60212.03,60082.18,60096.11,2292,1200,0
2026-06-26 11:20:00,60096.04,60273.23,60090.42,60234.71,2318,1200,0
2026-06-26 11:25:00,60234.72,60283.94,60140.15,60210.78,2137,1200,0
2026-06-26 11:30:00,60210.78,60260.44,60046.77,60098.14,2323,1200,0
2026-06-26 11:35:00,60098.14,60175.0,60062.6,60130.84,1788,1200,0
2026-06-26 11:40:00,60130.85,60175.57,60079.55,60124.35,1244,1200,0
2026-06-26 11:45:00,60124.35,60189.29,60046.87,60048.33,1670,1200,0
2026-06-26 11:50:00,60048.44,60147.71,60048.44,60087.13,1921,1200,0
2026-06-26 11:55:00,60097.93,60180.15,60046.97,60151.76,1861,1200,0
2026-06-26 12:00:00,60151.78,60168.27,59970.0,59998.22,2146,1200,0
2026-06-26 12:05:00,59998.74,60049.71,59970.65,60002.33,1805,1200,0
2026-06-26 12:10:00,60002.33,60082.32,59972.71,60065.5,1611,1200,0
2026-06-26 12:15:00,60076.3,60085.59,59965.14,60030.68,1916,1200,0
2026-06-26 12:20:00,60030.07,60084.34,60001.47,60034.54,1532,1200,0
2026-06-26 12:25:00,60034.51,60068.66,60004.81,60036.82,1153,1200,0
2026-06-26 12:30:00,60036.77,60040.66,59950.21,59999.06,1343,1200,0
2026-06-26 12:35:00,59999.04,60041.49,59938.86,59938.86,1567,1200,0
2026-06-26 12:40:00,59939.04,60031.39,59850.64,59901.05,2100,1200,0
2026-06-26 12:45:00,59901.08,59941.92,59709.36,59709.99,3529,1200,0
2026-06-26 12:50:00,59710.01,59789.26,59474.87,59711.51,4309,1200,0
