time,open,high,low,close,tick_volume,spread,real_volume,EMA_2,EMA_4,EMA_8,EMA_16,EMA_32,EMA_64,EMA_128,EMA_360,EMA_720,EMA_1440,EMA_2_ANGLE,EMA_4_ANGLE,EMA_8_ANGLE,EMA_16_ANGLE,EMA_32_ANGLE,EMA_64_ANGLE,EMA_128_ANGLE,EMA_360_ANGLE,EMA_720_ANGLE,EMA_1440_ANGLE,SPREAD_2_4,SPREAD_4_8,SPREAD_8_16,SPREAD_16_32,SPREAD_32_64,SPREAD_64_128,SPREAD_128_360,SPREAD_360_720,SPREAD_720_1440,EMA_COMPRESSION,VWAP,VWAP_DISTANCE,VWAP_DISTANCE_PCT,VWAP_ANGLE,VWAP_ABOVE,RSI_14,ATR_14,MACD,MACD_SIGNAL,MACD_HIST,RETURN_1,RETURN_5,RETURN_20,RS_SCORE,TREND_SCORE,COMPRESSION_SCORE,MOMENTUM_SCORE,ALPHA_SCORE,DAY_QUARTER_POSITION,DAY_QUARTER_ZONE,PREV_HIGH_20,PREV_LOW_20,LIQUIDITY_SWEEP_HIGH,LIQUIDITY_SWEEP_LOW,ROUND_NUMBER,ROUND_DISTANCE,ROUND_DISTANCE_PCT,LIQUIDITY_SCORE,STRUCTURE_SCORE,STRUCTURE_STATE,FEAR_SCORE,BODY,RANGE,UPPER_WICK,LOWER_WICK,BODY_RATIO,UPPER_WICK_RATIO,LOWER_WICK_RATIO,BULLISH_CANDLE,BEARISH_CANDLE,HAMMER,SHOOTING_STAR,ENGULFING_BULL,ENGULFING_BEAR,PATTERN_SCORE,EMA_FAN_BULL,EMA_FAN_BEAR,TREND_EXHAUSTION,TREND_ENGINE_SCORE,SWING_HIGH,SWING_LOW,LAST_SWING_HIGH,LAST_SWING_LOW,BOS_BULL,BOS_BEAR,CHOCH_BULL,CHOCH_BEAR,FVG_BULL,FVG_BEAR,LIQUIDITY_GRAB_HIGH,LIQUIDITY_GRAB_LOW,SMART_MONEY_SCORE,MTF_SHORT_TREND,MTF_MEDIUM_TREND,MTF_SCORE,AI_BASE_SCORE,AI_SIGNAL,RISK_LEVEL,FINAL_DECISION,POSITION_SIZE_LEVEL,STOP_LOSS,TAKE_PROFIT
2026-06-25 05:20:00,3981.23,3991.24,3980.88,3984.92,4701,5,0,3984.92,3984.92,3984.92,3984.92,3984.92,3984.92,3984.92,3984.92,3984.92,3984.92,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3985.68,-0.7599999999997635,-0.019068264386497752,,False,,,0.0,0.0,0.0,,,,0.0,0,99.8,0,29.939999999999998,,UNKNOWN,,,False,False,4000.0,-15.079999999999927,-0.37842666854039547,0,24.451,WEAK,20,3.6900000000000546,10.359999999999673,6.319999999999709,0.34999999999990905,0.3561776061776227,0.6100386100386013,0.03378378378377607,True,False,False,False,False,False,0,False,False,False,0,False,False,,,False,False,False,False,False,False,False,False,0,NEUTRAL,NEUTRAL,-30,9.09775,SELL,MEDIUM,SELL,NONE,,
2026-06-25 05:25:00,3984.92,3987.83,3984.14,3986.55,3138,5,0,3986.0066666666667,3985.572,3985.2822222222226,3985.1117647058823,3985.018787878788,3984.970153846154,3984.9452713178293,3984.9290304709143,3984.9245214979196,3984.922262317835,1.0866666666665878,0.6520000000000437,0.3622222222224991,0.19176470588217853,0.09878787878778894,0.050153846153989434,0.025271317829265172,0.00903047091424014,0.004521497919540707,0.0022623178347203066,0.4346666666665442,0.28977777777754454,0.17045751634032058,0.09297682709438959,0.04863403263379951,0.024882528324724262,0.01624084691502503,0.004508972994699434,0.0022591800848204002,0.12048937209242973,3985.877484373007,0.6725156269931176,0.016872461073622457,0.197484373007228,True,,,0.13002849002805306,0.026005698005610613,0.10402279202244244,0.00040904208867442726,,,0.008180841773488545,100,99.2,60,87.75999999999999,,UNKNOWN,,,False,False,4000.0,-13.449999999999818,-0.3373844552307087,0,75.004,STRONG_BULL,0,1.6300000000001091,3.6900000000000546,1.2799999999997453,0.7800000000002001,0.4417344173441965,0.3468834688346142,0.21138211382118932,True,False,False,False,False,False,0,True,False,False,90,False,False,,,False,False,False,False,False,False,False,False,0,BULL,BULL,100,73.691,BUY,MEDIUM,WAIT,NONE,,
2026-06-25 05:30:00,3986.7,3987.01,3978.39,3983.37,5672,5,0,3984.2488888888893,3984.6911999999998,3984.8572839506173,3984.9068512110725,3984.91886134068,3984.9209183431954,3984.9208485066997,3984.920393182987,3984.920209371712,3984.9201078940764,-1.7577777777773917,-0.8808000000003631,-0.42493827160524233,-0.2049134948097162,-0.09992653810786578,-0.04923550295870882,-0.024422811129625188,-0.008637287927285797,-0.0043121262074237166,-0.0021544237583839276,-0.4423111111104845,-0.1660839506175762,-0.04956726045520554,-0.01201012960746084,-0.0020570025153574534,6.983649564062944e-05,0.0004553237126856402,0.00018381127483735327,0.00010147763578061131,0.07475998926944764,3984.6373137936994,-1.2673137936994863,-0.03180499739116533,-1.2401705793076871,False,,,-0.023254356701727374,0.016153687064143017,-0.03940804376587039,-0.0007976822064191813,,,-0.015953644128383626,0,99.4,0,29.82,,UNKNOWN,,,False,False,4000.0,-16.63000000000011,-0.41748569678438385,0,24.353,WEAK,40,3.3299999999999272,8.620000000000346,0.3100000000004002,4.980000000000018,0.38631090487236586,0.035962877030207396,0.5777262180974267,False,True,False,False,False,True,-35,False,True,False,-40,False,False,,,False,False,False,False,False,False,False,False,0,BEAR,NEUTRAL,-60,-3.4567499999999995,SELL,MEDIUM,SELL,NONE,,
2026-06-25 05:35:00,3983.37,3988.22,3982.63,3984.7,4317,5,0,3984.5496296296296,3984.69472,3984.822331961591,3984.882515774476,3984.9055970170025,3984.9141208557126,3984.917424498844,3984.919172168123,3984.9195985274077,3984.919802400816,0.30074074074036616,0.0035200000002078013,-0.034951989026467345,-0.024335436596629734,-0.013264323677503853,-0.0067974874827996246,-0.0034240078557559173,-0.001221014863858727,-0.0006108443044468004,-0.0003054932603845373,-0.14509037037032613,-0.12761196159090105,-0.06018381288504315,-0.02308124252658672,-0.008523838710061682,-0.003303643131403078,-0.00174766927921155,-0.0004263592845745734,-0.0002038734082816518,0.041130307909598846,3984.7695308877423,-0.06953088774253047,-0.00174491616650763,0.13221709404297144,False,,,-0.03698588212591858,0.005525773226130699,-0.042511655352049274,0.0003338881399417293,,,0.006677762798834586,0,99.6,20,35.879999999999995,,UNKNOWN,,,False,False,4000.0,-15.300000000000182,-0.3839686802017764,0,29.302,WEAK,40,1.3299999999999272,5.589999999999691,3.519999999999982,0.7399999999997817,0.23792486583184272,0.6296958855098705,0.1323792486582867,True,False,False,True,False,False,-25,False,True,False,-40,True,False,3988.22,,False,False,False,False,False,False,False,False,0,BEAR,BEAR,-100,-6.704500000000003,SELL,MEDIUM,SELL,NONE,,
2026-06-25 05:40:00,3984.69,3985.0,3974.8,3978.54,4166,5,0,3980.543209876543,3982.232832,3983.4262581923485,3984.136337448067,3984.519803258396,3984.7179940601523,3984.8185497004124,3984.883830494062,3984.9019019988987,3984.910947713237,-4.006419753086448,-2.461887999999817,-1.3960737692423209,-0.7461783264088808,-0.38579375860626897,-0.19612679556030344,-0.09887479843155234,-0.035341674061328376,-0.017696528509077325,-0.008854687579059828,-1.6896221234569566,-1.1934261923483973,-0.7100792557184832,-0.3834658103291986,-0.1981908017560272,-0.10055564026015418,-0.06528079364943551,-0.018071504836825625,-0.009045714338299149,0.48530420407708635,3983.7612989906343,-5.2212989906342955,-0.13106455429338137,-1.0082318971080895,False,,,-0.5387187196279228,-0.10332312534468001,-0.4353955942832428,-0.0015459131176750462,,,-0.03091826235350093,0,98.2,0,29.46,,UNKNOWN,,,False,False,4000.0,-21.460000000000036,-0.5393938479944914,0,24.059,WEAK,40,6.150000000000091,10.199999999999818,0.30999999999994543,3.7399999999997817,0.6029411764706079,0.03039215686274029,0.3666666666666518,False,True,False,False,False,False,0,False,True,False,-40,False,True,3988.22,3974.8,False,False,False,False,False,False,False,False,0,BEAR,BEAR,-100,-9.620249999999999,SELL,MEDIUM,SELL,NONE,,
2026-06-25 05:45:00,3978.54,3984.07,3976.79,3983.27,4280,5,0,3982.361069958848,3982.6476992,3983.391534149604,3984.034415395353,3984.4440576063726,3984.673440396763,3984.7945411779256,3984.8748896048983,3984.8973752249763,3984.9086702007967,1.8178600823048328,0.41486719999966226,-0.03472404274452856,-0.10192205271414423,-0.07574565202367012,-0.044553663389251597,-0.024008522486838046,-0.0089408891635685,-0.004526773922407301,-0.002277512440286955,-0.2866292411517861,-0.7438349496042065,-0.6428812457488675,-0.4096422110196727,-0.22938279039044573,-0.12110078116256773,-0.08034842697270506,-0.022485620077986823,-0.011294975820419495,0.28306669354985087,3983.3728455253613,-0.10284552536131741,-0.0025818704236247126,-0.3884534652729599,False,,,-0.5483530655951654,-0.1923291133947771,-0.3560239522003883,0.001188878332252452,-0.000414061010007738,,0.011355736344816904,0,99.0,20,35.7,,UNKNOWN,,,False,False,4000.0,-16.730000000000018,-0.42000667793044455,0,29.155,WEAK,40,4.730000000000018,7.2800000000002,0.8000000000001819,1.75,0.6497252747252593,0.10989010989013186,0.24038461538460879,True,False,False,False,False,False,0,False,True,False,-40,False,False,3988.22,3974.8,False,False,False,False,False,False,False,False,0,BEAR,BEAR,-100,-6.786249999999999,SELL,MEDIUM,SELL,NONE,,
2026-06-25 05:50:00,3983.28,3983.45,3975.78,3979.19,3750,5,0,3980.247023319616,3981.2646195199995,3982.4578598941366,3983.46448417237,3984.125629872653,3984.5047191537856,3984.7076490666395,3984.8433943716304,3984.881543393562,3984.9007331151606,-2.1140466392321287,-1.3830796800002645,-0.9336742554673947,-0.5699312229830866,-0.31842773371954536,-0.1687212429774263,-0.08689211128603347,-0.0314952332678331,-0.0158318314142889,-0.007937085636058328,-1.0175962003836503,-1.1932403741370763,-1.0066242782331756,-0.661145700283214,-0.3790892811325648,-0.20292991285396056,-0.13574530499090542,-0.038149021931531024,-0.019189721598650067,0.5170788661716365,3982.8857961408653,-3.695796140865241,-0.09279191847394183,-0.48704938449600377,False,,,-0.8751223900358127,-0.32888776872298425,-0.5462346213128284,-0.0010242840681148335,-0.0018462078739762688,,-0.07587191758158474,0,97.2,0,29.16,,UNKNOWN,,,False,False,4000.0,-20.809999999999945,-0.5229707553547317,0,23.814,WEAK,40,4.0900000000001455,7.669999999999618,0.169999999999618,3.4099999999998545,0.5332464146023923,0.022164276401515838,0.44458930899609184,False,True,False,False,False,False,0,False,True,False,-40,False,False,3988.22,3974.8,False,False,False,False,False,False,False,False,0,BEAR,BEAR,-100,-9.756499999999999,SELL,MEDIUM,SELL,NONE,,
2026-06-25 05:55:00,3979.19,3984.58,3977.56,3982.98,3969,5,0,3982.069007773205,3981.9507717119996,3982.573891028773,3983.4074860344435,3984.056197759159,3984.4578047182845,3984.6808638097923,3984.833070857106,3984.8762686546065,3984.898067281552,1.8219844535892662,0.6861521920000087,0.11603113463615955,-0.056998137926257186,-0.06943211349380363,-0.046914435501093976,-0.02678525684723354,-0.010323514524316124,-0.00527473895544972,-0.002665833608716639,0.11823606120560726,-0.6231193167732272,-0.8335950056707588,-0.6487117247156675,-0.40160695912527444,-0.223059091507821,-0.15220704731382284,-0.04319779750039743,-0.02179862694538315,0.3406146256397733,3982.7481217701684,0.23187822983163642,0.005822066139813432,-0.13767437069691368,True,,,-0.818829155452022,-0.4268760460687918,-0.39195310938323014,0.0009524551479069832,-9.79070485542799e-05,,0.01611189150151127,25,98.6,20,45.58,,UNKNOWN,,,False,False,4000.0,-17.019999999999982,-0.4273182391074016,0,38.057,WEAK,20,3.7899999999999636,7.019999999999982,1.599999999999909,1.6300000000001091,0.5398860398860361,0.22792022792021555,0.23219373219374834,True,False,False,False,False,False,0,False,False,False,0,False,False,3988.22,3974.8,False,False,False,False,False,False,False,False,0,NEUTRAL,BEAR,-70,10.40925,SELL,MEDIUM,SELL,NONE,,
2026-06-25 06:00:00,3982.98,3989.27,3981.18,3981.92,4327,5,0,3981.9696692577354,3981.9384630271998,3982.428581911268,3983.23248767745,3983.9267312283014,3984.3797184192604,3984.6380597197176,3984.816931960391,3984.8680681867713,3984.893933947365,-0.09933851546975347,-0.012308684799791081,-0.14530911750489395,-0.17499835699345567,-0.129466530857826,-0.07808629902410757,-0.04280409007469643,-0.016138896715347073,-0.008200467835195013,-0.0041333341869176365,0.031206230535644863,-0.4901188840681243,-0.8039057661821971,-0.6942435508512972,-0.45298719095899287,-0.25834130045723214,-0.1788722406731722,-0.05113622638054949,-0.025865760593660525,0.3318530167445412,3982.9034072720947,-0.9834072720946097,-0.02469071357088594,0.15528550192630064,False,,,-0.8499517875534366,-0.5114911943657208,-0.3384605931877158,-0.00026613239333361793,-0.0006976685823273376,,-0.026252705336492488,0,98.8,0,29.639999999999997,,UNKNOWN,,,False,False,4000.0,-18.079999999999927,-0.4540523164704446,0,24.206000000000003,WEAK,40,1.0599999999999454,8.090000000000146,6.289999999999964,0.7400000000002365,0.13102595797279684,0.7775030902348393,0.09147095179236381,False,True,False,True,False,False,-25,False,False,False,0,True,False,3989.27,3974.8,False,False,False,False,False,False,True,False,-25,BEAR,BEAR,-100,-5.288499999999999,SELL,MEDIUM,SELL,NONE,,
2026-06-25 06:05:00,3981.92,3981.94,3973.39,3973.52,4535,5,0,3976.3365564192454,3978.57107781632,3980.448897042097,3982.0898420683384,3983.2960202447684,3984.0455732371292,3984.465686700807,3984.754345079724,3984.8365894955455,3984.8781477794987,-5.6331128384899785,-3.3673852108795472,-1.9796848691707964,-1.142645609111696,-0.6307109835329356,-0.3341451821311239,-0.17237301891054813,-0.0625868806669132,-0.03147869122585689,-0.015786167866281176,-2.2345213970747864,-1.877819225776875,-1.6409450262412975,-1.2061781764300576,-0.7495529923608046,-0.4201134636778079,-0.2886583789168071,-0.0822444158216058,-0.04155828395323624,0.9490657066948087,3982.2028580873484,-8.68285808734845,-0.21804158142558375,-0.7005491847462508,False,,,-1.5347350259507948,-0.7161399606827357,-0.8185950652680591,-0.002109535098645865,-0.0012617693927923224,,-0.08004378375668697,0,85.6,0,25.679999999999996,,UNKNOWN,,,False,False,4000.0,-26.480000000000018,-0.6664116450904995,0,20.972,WEAK,40,8.400000000000091,8.550000000000182,0.01999999999998181,0.13000000000010914,0.9824561403508669,0.0023391812865475306,0.01520467836258554,False,True,False,False,False,False,0,False,True,False,-40,False,False,3989.27,3974.8,False,True,False,False,False,False,False,False,-25,BEAR,BEAR,-100,-15.087,SELL,MEDIUM,SELL,NONE,,
